2025-02-05 00:49:14.366073 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.389738 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.413193 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.435708 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.459736 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.482362 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.504982 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.528591 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.551982 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.575008 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.598102 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.620626 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.643721 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.666545 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.689533 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.713044 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.736620 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.760004 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.782824 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.807932 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.831109 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.854277 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.877050 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.901209 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.924760 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.948796 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.972719 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:14.995377 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.018574 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.041513 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.065487 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.088744 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.111196 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.134256 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.157749 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.180479 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.204064 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.227235 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.250479 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.273947 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.296963 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.320521 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.343900 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.367007 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.390705 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.415088 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.438889 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.462658 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.485758 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.510657 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.533421 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.556047 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.579072 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.602630 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.626077 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.649016 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.673133 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.698437 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 763, 'registry_total': 0}
2025-02-05 00:49:15.721762 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.744465 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.768368 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.792073 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.816280 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.839340 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.862874 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.886922 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.910628 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.933946 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.957449 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:15.980646 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.004587 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.028173 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.050948 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.074308 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.097266 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.119740 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 2, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.143455 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.166309 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.189666 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.213092 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.235512 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 0, 'network_http': 0, 'network_connections': 0, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.279105 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.302895 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.326393 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.349287 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.372236 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
2025-02-05 00:49:16.396062 - ✅ Safe Packet: {'network_threats': 0, 'network_dns': 1, 'network_http': 0, 'network_connections': 1, 'apis': 762, 'registry_total': 0}
